 
       w [eV]        Osc. strength         Transition      Weight      KS [eV]      D<S*S>
 
 ==========================================================================================
 
      2.639          0.0000968           238   -> 278       0.996       2.638       0.081
      2.646          0.0001707           278   -> 297       0.940       2.643       0.263
      2.648          0.0001073           223   -> 279       0.953       2.647       0.738
      2.654          0.0000027           258   -> 279       1.000       2.654       0.998
      2.663          0.0000040           222   -> 279       1.000       2.663       0.988
      2.667          0.0001939           237   -> 278       1.000       2.666       0.017
      2.676          0.0000131           257   -> 279       1.000       2.676       0.997
      2.683          0.0000187           221   -> 279       1.000       2.683       0.997
      2.687          0.0000006           278   -> 298       1.000       2.687       0.001
      2.689          0.0000053           220   -> 279       1.000       2.689       0.999
      2.694          0.0002293           278   -> 299       1.000       2.692       0.006
      2.702          0.0001166           236   -> 278       0.994       2.701       0.101
      2.702          0.0000241           256   -> 279       0.995       2.702       0.898
      2.705          0.0001296           278   -> 300       1.000       2.704       0.008
      2.713          0.0000365           255   -> 279       0.997       2.713       0.927
      2.714          0.0001710           235   -> 278       0.997       2.713       0.074
      2.718          0.0000089           254   -> 279       1.000       2.718       0.991
      2.719          0.0000463           234   -> 278       1.000       2.719       0.010
      2.722          0.0000096           219   -> 279       1.000       2.721       0.988
      2.724          0.0000029           218   -> 279       1.000       2.724       0.976
      2.725          0.0001842           233   -> 278       1.000       2.724       0.039
      2.729          0.0000044           253   -> 279       1.000       2.729       0.999
      2.735          0.0000201           252   -> 279       1.000       2.735       0.997
      2.741          0.0000529           278   -> 301       0.990       2.740       0.128
      2.742          0.0001500           217   -> 279       0.990       2.741       0.859
      2.748          0.0000177           216   -> 279       1.000       2.748       0.986
      2.754          0.0001173           232   -> 278       1.000       2.753       0.019
      2.764          0.0000500           278   -> 302       1.000       2.764       0.002
      2.776          0.0000162           251   -> 279       0.996       2.776       0.919
      2.776          0.0002611           278   -> 303       0.996       2.774       0.090
      2.778          0.0000377           231   -> 278       1.000       2.778       0.003
      2.785          0.0000056           215   -> 279       1.000       2.785       0.998
      2.792          0.0000153           250   -> 279       0.999       2.792       0.999
      2.792          0.0001278           214   -> 279       0.999       2.791       0.973
      2.800          0.0001826           278   -> 304       0.977       2.799       0.020
      2.801          0.0001317           230   -> 278       0.982       2.800       0.015
      2.802          0.0000069           249   -> 279       1.000       2.802       0.982
      2.803          0.0000705           229   -> 278       0.999       2.803       0.004
      2.808          0.0000071           213   -> 279       1.000       2.808       0.998
      2.832          0.0000375           278   -> 305       0.999       2.832       0.002
      2.833          0.0003773           228   -> 278       0.999       2.831       0.015
      2.838          0.0000205           248   -> 279       1.000       2.838       0.997
      2.843          0.0000479           212   -> 279       1.000       2.842       0.990
      2.850          0.0000598           227   -> 278       1.000       2.849       0.003
      2.862          0.0000029           247   -> 279       1.000       2.861       0.998
      2.865          0.0000456           278   -> 306       1.000       2.864       0.003
      2.871          0.0001185           278   -> 307       0.970       2.870       0.202
      2.871          0.0000525           246   -> 279       0.972       2.871       0.801
      2.875          0.0000029           211   -> 279       1.000       2.874       0.999
      2.875          0.0000142           210   -> 279       1.000       2.875       0.992
      2.884          0.0000945           278   -> 308       0.999       2.884       0.002
      2.890          0.0003895           226   -> 278       0.999       2.886       0.034
      2.899          0.0000813           209   -> 279       1.000       2.898       0.970
      2.899          0.0000096           245   -> 279       1.000       2.899       0.996
      2.906          0.0002254           225   -> 278       1.000       2.905       0.006
      2.918          0.0002340           224   -> 278       1.000       2.917       0.006
      2.926          0.0001629           223   -> 278       1.000       2.925       0.009
      2.927          0.0000029           208   -> 279       1.000       2.927       0.994
      2.928          0.0000750           278   -> 309       1.000       2.928       0.002
      2.937          0.0000150           244   -> 279       1.000       2.937       0.994
      2.939          0.0000139           243   -> 279       1.000       2.939       0.993
      2.940          0.0000107           207   -> 279       0.974       2.940       0.812
      2.943          0.0003209           222   -> 278       0.974       2.941       0.197
      2.946          0.0000219           242   -> 279       1.000       2.946       0.999
      2.954          0.0000949           277   -> 280       1.000       2.954       1.131
      2.962          0.0001066           221   -> 278       0.999       2.961       0.009
      2.965          0.0001108           277   -> 280       1.000       2.964       0.868
      2.966          0.0000252           278   -> 310       0.999       2.966       0.002
      2.969          0.0001789           220   -> 278       0.818       2.967       0.398
      2.971          0.0002884           206   -> 279       0.871       2.970       0.606
      2.974          0.0000353           278   -> 311       1.000       2.974       0.001
      2.984          0.0000075           205   -> 279       1.000       2.984       0.999
      2.991          0.0000191           241   -> 279       1.000       2.991       0.998
      3.001          0.0001017           219   -> 278       1.000       3.000       0.024
      3.003          0.0001043           218   -> 278       0.999       3.002       0.049
      3.005          0.0000663           204   -> 279       0.999       3.005       0.935
      3.007          0.0000013           240   -> 279       1.000       3.007       0.998
      3.008          0.0000625           278   -> 312       1.000       3.007       0.003
      3.014          0.0000172           239   -> 279       1.000       3.014       0.992
      3.019          0.0000585           203   -> 279       0.783       3.020       0.558
      3.022          0.0002470           217   -> 278       0.754       3.019       0.378
      3.028          0.0004157           216   -> 278       0.989       3.026       0.060
      3.031          0.0003975           278   -> 313       0.998       3.030       0.013
      3.034          0.0001694           277   -> 281       1.000       3.034       1.294
      3.038          0.0002706           277   -> 281       0.999       3.038       0.727
      3.038          0.0000657           238   -> 279       0.999       3.038       0.973
      3.058          0.0000336           278   -> 314       1.000       3.058       0.002
      3.059          0.0000619           278   -> 315       1.000       3.059       0.001
      3.064          0.0000603           215   -> 278       1.000       3.063       0.006
      3.065          0.0000203           237   -> 279       1.000       3.065       0.999
      3.069          0.0000123           202   -> 279       0.984       3.069       0.847
      3.069          0.0000675           214   -> 278       0.985       3.069       0.154
      3.084          0.0001075           278   -> 316       0.999       3.083       0.042
      3.087          0.0000536           213   -> 278       1.000       3.086       0.009
      3.089          0.0001470           201   -> 279       0.999       3.088       0.949
      3.097          0.0000738           277   -> 282       0.999       3.097       1.375
      3.099          0.0001200           277   -> 282       0.999       3.099       0.627
      3.101          0.0000042           236   -> 279       1.000       3.101       0.999
      3.102          0.0000517           200   -> 279       1.000       3.101       0.993
      3.104          0.0000054           276   -> 280       1.000       3.104       1.062
      3.110          0.0000479           277   -> 283       1.000       3.109       1.139
      3.113          0.0000450           235   -> 279       1.000       3.113       0.994
      3.115          0.0000068           276   -> 280       1.000       3.114       0.937
      3.119          0.0000018           234   -> 279       1.000       3.119       0.987
      3.120          0.0000981           277   -> 283       1.000       3.119       0.857
      3.121          0.0002646           212   -> 278       0.998       3.120       0.089
      3.122          0.0000324           199   -> 279       0.999       3.122       0.957
      3.124          0.0000006           278   -> 317       0.742       3.124       0.476
      3.125          0.0002065           233   -> 279       0.728       3.124       0.499
      3.140          0.0000252           278   -> 318       1.000       3.140       0.002
      3.146          0.0002051           275   -> 280       1.000       3.145       1.090
      3.152          0.0001532           277   -> 284       0.999       3.152       1.255
      3.152          0.0000160           232   -> 279       0.931       3.152       0.733
      3.153          0.0000382           278   -> 319       0.940       3.152       0.295
      3.153          0.0000076           198   -> 279       0.998       3.153       0.946
      3.153          0.0000027           211   -> 278       0.987       3.153       0.030
      3.154          0.0000991           210   -> 278       0.984       3.153       0.047
      3.157          0.0000643           277   -> 284       0.767       3.156       0.847
      3.157          0.0004658           275   -> 280       0.780       3.156       0.764
      3.166          0.0000660           277   -> 285       1.000       3.166       1.305
      3.169          0.0001956           277   -> 285       1.000       3.168       0.690
      3.177          0.0000422           209   -> 278       0.999       3.176       0.048
      3.178          0.0000010           231   -> 279       1.000       3.178       0.993
      3.179          0.0000107           197   -> 279       0.999       3.178       0.961
      3.184          0.0000777           276   -> 281       0.999       3.184       1.412
      3.188          0.0001945           276   -> 281       0.998       3.188       0.570
      3.188          0.0001363           278   -> 320       0.996       3.187       0.065
      3.189          0.0000165           196   -> 279       0.999       3.189       0.956
      3.192          0.0001058           278   -> 321       0.998       3.192       0.017
      3.200          0.0000440           230   -> 279       1.000       3.200       0.978
      3.203          0.0000510           229   -> 279       1.000       3.202       0.970
      3.206          0.0000163           208   -> 278       0.814       3.206       0.416
      3.207          0.0000360           195   -> 279       0.842       3.207       0.595
      3.211          0.0000005           277   -> 286       0.763       3.211       1.994
      3.213          0.0000958           277   -> 286       0.763       3.212       0.004
      3.217          0.0000049           278   -> 322       0.999       3.217       0.002
      3.224          0.0006269           274   -> 280       0.719       3.224       0.539
      3.224          0.0005565           274   -> 280       0.788       3.224       0.607
      3.226          0.0000706           275   -> 281       1.000       3.226       1.150
      3.229          0.0000102           194   -> 279       1.000       3.229       0.996
      3.230          0.0000719           275   -> 281       1.000       3.230       0.852
      3.230          0.0000127           228   -> 279       1.000       3.230       0.999
      3.235          0.0003879           274   -> 280       1.000       3.234       0.872
      3.236          0.0000049           278   -> 323       1.000       3.235       0.010
      3.246          0.0000259           276   -> 282       0.992       3.246       1.615
      3.249          0.0000611           206   -> 278       1.000       3.248       0.031
      3.249          0.0000077           227   -> 279       1.000       3.249       0.973
      3.249          0.0001276           276   -> 282       0.992       3.249       0.405
      3.251          0.0000151           193   -> 279       1.000       3.251       0.990
      3.259          0.0000585           276   -> 283       1.000       3.259       1.051
      3.261          0.0000216           192   -> 279       1.000       3.261       0.987
      3.262          0.0000135           205   -> 278       1.000       3.262       0.007
      3.266          0.0001451           278   -> 324       1.000       3.265       0.008
      3.269          0.0000496           276   -> 283       1.000       3.269       0.933
      3.271          0.0001373           273   -> 280       1.000       3.270       1.113
      3.274          0.0000248           191   -> 279       1.000       3.274       0.996
      3.280          0.0000001           277   -> 287       0.804       3.280       1.978
      3.281          0.0000603           273   -> 280       0.996       3.280       0.832
      3.281          0.0003820           277   -> 287       0.757       3.281       0.085
      3.283          0.0000320           272   -> 280       1.000       3.283       1.052
      3.285          0.0002371           204   -> 278       0.970       3.282       0.201
      3.286          0.0001737           226   -> 279       0.976       3.286       0.805
      3.288          0.0000623           275   -> 282       1.000       3.288       1.243
      3.291          0.0000207           275   -> 282       1.000       3.291       0.764
      3.293          0.0000278           272   -> 280       1.000       3.293       0.938
      3.295          0.0000074           277   -> 288       0.818       3.295       1.979
      3.298          0.0000545           203   -> 278       0.996       3.297       0.007
      3.298          0.0007932           277   -> 288       0.807       3.296       0.027
      3.302          0.0004681           275   -> 283       1.000       3.301       1.203
      3.302          0.0001065           276   -> 284       0.996       3.302       1.293
